,Month_ending,Year,County,State,Primary_use,Battery_BEVs,Hybrid_(PHEVs),EV_Total,Non-Electric_Total,Total_Veh,%_Electric,Proximity,State_Names
389,April,2019,New London,CT,Passenger,0,2,2,250,252,0.79,Furthest,Connecticut
392,April,2019,Anne Arundel,MD,Passenger,0,2,2,448,450,0.44,Furthest,Maryland
394,April,2019,Travis,TX,Passenger,2,1,3,196,199,1.51,Mid-Distance,Texas
395,April,2019,Jefferson,NY,Passenger,0,2,2,219,221,0.9,Furthest,New York
397,April,2019,Hennepin,MN,Passenger,2,0,2,103,105,1.9,Mid-Distance,Minnesota
399,April,2019,Douglas,NE,Passenger,0,1,1,63,64,1.56,Mid-Distance,Nebraska
400,April,2019,Montgomery,PA,Passenger,2,0,2,38,40,5.0,Furthest,Pennsylvania
401,April,2019,Nueces,TX,Passenger,1,1,2,96,98,2.04,Mid-Distance,Texas
404,April,2019,San Juan,PR,Passenger,0,1,1,3,4,25.0,Mid-Distance,Puerto Rico
407,April,2019,Manassas,VA,Passenger,0,1,1,8,9,11.11,Furthest,Virginia
408,April,2019,Nantucket,MA,Passenger,1,0,1,3,4,25.0,Furthest,Massachusetts
409,April,2019,Norfolk,VA,Passenger,2,2,4,352,356,1.12,Furthest,Virginia
412,April,2019,Lake,FL,Passenger,1,0,1,19,20,5.0,Furthest,Florida
413,April,2019,St. Clair,IL,Passenger,0,1,1,160,161,0.62,Mid-Distance,Illinois
414,April,2019,Ramsey,MN,Passenger,1,0,1,43,44,2.27,Mid-Distance,Minnesota
415,April,2019,Owyhee,ID,Passenger,1,0,1,5,6,16.67,Nearest,Idaho
416,April,2019,San Mateo,CA,Passenger,2,1,3,122,125,2.4,Nearest,California
417,April,2019,Brevard,FL,Passenger,0,1,1,85,86,1.16,Furthest,Florida
418,April,2019,Cochise,AZ,Passenger,0,1,1,116,117,0.85,Nearest,Arizona
419,April,2019,Pinal,AZ,Passenger,2,0,2,195,197,1.02,Nearest,Arizona
421,April,2019,Cape May,NJ,Passenger,0,1,1,17,18,5.56,Furthest,New Jersey
424,April,2019,Honolulu,HI,Passenger,2,3,5,503,508,0.98,Nearest,Hawaii
